,probing dataset,linguistic subfield,linguistic phenomena,probe type,train portion,probe,EleutherAI/pythia-1b,EleutherAI/pythia-1b-deduped,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b-deduped,EleutherAI/pythia-12b,EleutherAI/pythia-12b-deduped,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b-deduped,EleutherAI/pythia-410m,EleutherAI/pythia-410m-deduped,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b-deduped,albert-base-v2,bert-base-uncased,google/electra-base-discriminator,google/t5-xxl-lm-adapt,gpt2,facebook/bart-base,meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-hf,microsoft/deberta-base,microsoft/deberta-v3-base,roberta-base,EleutherAI/pythia-160m,EleutherAI/pythia-160m-deduped,EleutherAI/pythia-70m,EleutherAI/pythia-70m-deduped,google/flan-t5-xxl,google/flan-t5-large,google/flan-t5-xl,google/flan-t5-base,google/flan-t5-small,google/flan-ul2,google/t5-small-lm-adapt,google/t5-base-lm-adapt,google/t5-large-lm-adapt,google/t5-xl-lm-adapt,google/ul2,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-hf,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,allenai/tulu-2-dpo-13b,allenai/tulu-2-13b,allenai/tulu-2-70b,allenai/tulu-2-dpo-70b,microsoft/Orca-2-13b,lmsys/vicuna-13b-v1.5,mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai/Mixtral-8x7B-v0.1,databricks/dolly-v2-12b,WizardLM/WizardLM-13B-V1.2,ibm/merlinite-7b,ibm/labradorite-13b,allenai/tk-instruct-11b-def,sentence-transformers/average_word_embeddings_glove.840B.300d,sentence-transformers/average_word_embeddings_glove.6B.300d
85,context-subject_number,syntax,subject number,sentence classification,0.001953125,context-subject_number,0.582668722,0.541492015,0.49493292,0.526183158,0.545571661,0.620272112,0.59554261,0.579066491,0.414881384,0.437766474,0.609842455,0.640281069,0.384043103,0.445575148,0.448767084,0.505803049,0.421744639,0.406769526,0.492876327,0.47260524,0.441757631,0.421638227,0.441603512,0.330398822,0.403157449,0.37576291,0.389307821,0.483821487,0.444391274,0.4947303,0.420718187,0.419099867,0.485197645,0.396682364,0.422371352,0.454720348,0.44030534,0.461845386,0.552758098,0.572842968,0.5120022,0.47082904,0.520913219,0.431667715,0.54442873,0.591049671,0.479418331,0.560367566,0.558329767,0.498809189,0.546872908,0.402030462,0.619493079,0.472378176,0.447521406,0.564057511,0.407159185,0.477280283,0.529641598
86,context-verb_causative,syntax,deoncausative-inchoative alternation ,sentence classification,0.001953125,context-verb_causative,0.419493419,0.471277243,0.426493138,0.474515188,0.442591828,0.398598886,0.387353307,0.41985094,0.422581345,0.450831747,0.479502374,0.423783731,0.380092359,0.491901439,0.499645382,0.434346652,0.418581605,0.466479325,0.496009231,0.455610347,0.354288435,0.416023135,0.444174182,0.328769982,0.360287571,0.370394731,0.332261902,0.433223391,0.386022115,0.454927695,0.441040736,0.483195364,0.525444764,0.422318494,0.454653126,0.476247835,0.454183853,0.465204251,0.50252828,0.468194699,0.534731692,0.507201636,0.468624187,0.476880169,0.504828495,0.535412484,0.458880723,0.494419688,0.452288163,0.504330289,0.362651622,0.331698513,0.466644043,0.402988952,0.420115882,0.464727122,0.528133106,0.372386563,0.50674507
87,context-verb_dynamic,semantics,verb dynamic,sentence classification,0.001953125,context-verb_dynamic,0.410458469,0.425061512,0.395258999,0.333895773,0.391592503,0.360598117,0.399158263,0.361354584,0.427360529,0.354378468,0.432864952,0.387154073,0.505151182,0.489561582,0.428268504,0.415429938,0.396639901,0.528995281,0.426650071,0.397717679,0.439411664,0.396276051,0.439704019,0.413012946,0.33170902,0.413384777,0.332509297,0.449217522,0.497981167,0.464988637,0.447759646,0.471450603,0.450056559,0.400096589,0.395314991,0.503178626,0.410196579,0.38904773,0.453010261,0.349142069,0.453341579,0.466048086,0.46616717,0.463442206,0.340051502,0.342345613,0.412275636,0.47466554,0.488978297,0.421722031,0.398596632,0.384398526,0.378771627,0.418701243,0.416367418,0.447398007,0.44981401,0.476948214,0.453441882
88,context-verb_tense,semantics,tense,sentence classification,0.001953125,context-verb_tense,0.455864102,0.432701176,0.491660994,0.452758307,0.492902553,0.48255918,0.477419317,0.478217113,0.510574347,0.428134215,0.483579838,0.469216949,0.74758842,0.819201875,0.458571339,0.798393226,0.349716884,0.676913512,0.519046557,0.519678211,0.621169913,0.432597601,0.399295545,0.354795396,0.329488069,0.350620532,0.347659051,0.955173957,0.674263191,0.744904006,0.721302378,0.624070764,0.580064714,0.770484209,0.696179318,0.622791541,0.629561985,0.705909848,0.501173747,0.491174006,0.47307995,0.48333661,0.522378302,0.500111568,0.506267452,0.485501891,0.513358176,0.537847817,0.45664745,0.471403265,0.369404894,0.349327773,0.560483539,0.459080398,0.383216798,0.557077479,0.578034508,0.467668176,0.537180018
89,coref,discourse,coreference resolution,token(s) pair classification,0.001953125,coref,0.594768012,0.581904817,0.589644849,0.602863765,0.570528173,0.583700347,0.570501351,0.572792256,0.589315403,0.604505801,0.585103428,0.588391912,0.660035563,0.663960004,0.690806818,0.665204108,0.587612891,0.599985158,0.583555901,0.596964872,0.661550653,0.680918443,0.672079241,0.439244807,0.411106479,0.439818221,0.360885274,0.678766882,0.665951169,0.667922986,0.663196802,0.65232687,0.667844427,0.647040641,0.656341398,0.643015933,0.643040836,0.661192358,0.588902104,0.582949901,0.586091733,0.583740091,0.53094517,0.533968472,0.533565176,0.524898827,0.602141178,0.581105685,0.524824768,0.524019134,0.527958941,0.539475977,0.591035438,0.605807447,0.528973615,0.600140762,0.668834078,0.535302389,0.500861633
90,cwi,semantics,complex words,token(s) classification,0.001953125,cwi,0.47991612,0.483669502,0.464286029,0.486907172,0.495286036,0.502893078,0.479678857,0.481924459,0.455535454,0.503285998,0.481200618,0.47618407,0.441766548,0.426831549,0.478055525,0.460019869,0.481224811,0.437250596,0.447603446,0.488056737,0.476590341,0.487615335,0.511510783,0.410613865,0.497684342,0.505724519,0.312442459,0.444042146,0.451711458,0.470626068,0.453779662,0.486400986,0.490281504,0.451324272,0.471287698,0.446607786,0.446842521,0.440420288,0.457682461,0.494307005,0.488514,0.507415193,0.471270746,0.45287016,0.443397081,0.430663222,0.471067107,0.453233266,0.416131759,0.441631848,0.471626019,0.508692437,0.454691935,0.47060861,0.440901494,0.459677857,0.418558973,0.397918093,0.412543124
92,discourse-connective,discourse,discourse connective,sentence pair classification,0.001953125,discourse-connective,0.049909136,0.048040875,0.055613973,0.046059195,0.055290569,0.049953663,0.049680427,0.050274397,0.046701479,0.042046769,0.053904874,0.047387875,0.032568621,0.041246053,0.032484474,0.037937806,0.0197752,0.049773334,0.050061841,0.04594064,0.035368486,0.036868214,0.028466659,0.029445596,0.021547778,0.018609964,0.021958909,0.041284323,0.044940105,0.038393362,0.048914799,0.039051974,0.048616857,0.046276943,0.048898572,0.038083035,0.045097995,0.041852366,0.051695629,0.046368466,0.060902878,0.042486761,0.051029198,0.055564038,0.041750056,0.049070039,0.053557296,0.050067722,0.052129404,0.052240328,0.048485962,0.047890015,0.052407781,0.046778446,0.057137021,0.051468422,0.049628002,0.037691541,0.050689229
101,event_structure-distributive,semantics,event structure,token(s) pair classification,0.001953125,event_structure-distributive,0.527553344,0.511551219,0.5166834,0.486458027,0.541560972,0.527391309,0.546206963,0.554520822,0.503166395,0.437863511,0.526816779,0.490049481,0.514430374,0.491952503,0.460081172,0.532450509,0.49814992,0.500842339,0.519780076,0.580234528,0.447663778,0.518609869,0.471848983,0.357675815,0.425522298,0.370686185,0.353785902,0.539850533,0.478818989,0.475210536,0.531553042,0.488734806,0.501404816,0.497867668,0.512081003,0.506433022,0.534269649,0.536150515,0.550788927,0.556549406,0.534188455,0.428012604,0.497902799,0.545677817,0.515496832,0.53217653,0.516538012,0.547998261,0.462248671,0.511152542,0.454149896,0.453557575,0.535772032,0.521543723,0.499932992,0.539830971,0.49645654,0.497204804,0.483949989
102,event_structure-event,semantics,event structure,token(s) pair classification,0.001953125,event_structure-event,0.242647669,0.244575173,0.239504984,0.239962071,0.24311899,0.242127448,0.242947382,0.244153598,0.246643266,0.24356375,0.245350128,0.244783217,0.24191834,0.247178221,0.246074724,0.246267086,0.242614359,0.248775867,0.244508326,0.241406351,0.24334442,0.244683513,0.243985674,0.241406351,0.241406351,0.241406351,0.241406351,0.250201955,0.242532629,0.240321031,0.250695127,0.247430891,0.243967697,0.244489482,0.248947218,0.25056659,0.241964844,0.241065541,0.244369033,0.245252272,0.241702899,0.241690347,0.243257102,0.240956056,0.240599114,0.248607829,0.243745893,0.246184584,0.246133409,0.243538907,0.240870553,0.239835274,0.246330953,0.24795081,0.242159534,0.245620063,0.254636043,0.244141588,0.248949546
103,event_structure-has-natural-parts,semantics,event structure,token(s) classification,0.001953125,event_structure-has-natural-parts,0.464439899,0.473802572,0.458875418,0.454984087,0.474379039,0.462640321,0.458276916,0.462181085,0.481467062,0.465988117,0.47291286,0.476636612,0.494285816,0.48433938,0.487587106,0.490996623,0.46856038,0.496955776,0.474648523,0.468365532,0.470161498,0.478227645,0.489428473,0.459809697,0.451601624,0.451601624,0.453360826,0.487851983,0.486438364,0.486702335,0.499355423,0.490036279,0.490164167,0.489548057,0.494756162,0.488778734,0.496001565,0.483171219,0.476861614,0.474385232,0.474049896,0.475140381,0.486318439,0.480388135,0.495862478,0.490890402,0.477122462,0.482857245,0.486667001,0.487054396,0.464838785,0.480208194,0.481100816,0.484231067,0.476960272,0.486795956,0.495649099,0.50196799,0.492930365
104,event_structure-has-similar-parts,semantics,event structure,token(s) classification,0.001953125,event_structure-has-similar-parts,0.480369169,0.499880791,0.494664252,0.481965834,0.49820565,0.498781407,0.493875396,0.500959206,0.495516145,0.498893094,0.492198414,0.500905639,0.49122774,0.462976551,0.42582162,0.490827268,0.329889932,0.481124938,0.485186648,0.502497888,0.495634973,0.490189385,0.373006448,0.360661215,0.397209078,0.430188647,0.441021538,0.470032269,0.460263324,0.485112631,0.460881639,0.463864446,0.493024194,0.473623282,0.474609923,0.479399061,0.47715441,0.48707028,0.477920479,0.488428313,0.488646346,0.497067642,0.492707074,0.481323814,0.490949106,0.487939376,0.481058216,0.496128166,0.47099458,0.471367741,0.415368101,0.42634716,0.504592764,0.489138037,0.487874168,0.488258857,0.496383768,0.436715108,0.499357522
105,event_structure-is-dynamic,semantics,event structure,token(s) classification,0.001953125,event_structure-is-dynamic,0.491361886,0.496167248,0.482940567,0.490856457,0.493818545,0.47476629,0.479825735,0.490806162,0.502226758,0.498866856,0.484524745,0.481941414,0.483954108,0.488667148,0.468164581,0.482833928,0.383299059,0.487741911,0.478704447,0.493976557,0.484141332,0.485130453,0.489726263,0.341914862,0.427353659,0.3719217,0.350926018,0.48448267,0.484432983,0.488222104,0.492635971,0.478364088,0.50039922,0.487206399,0.484076947,0.479336751,0.480069584,0.485592765,0.491819757,0.481891018,0.482558858,0.481904447,0.496977413,0.486646414,0.491876954,0.501795393,0.488478631,0.489297712,0.502649367,0.487807781,0.48263126,0.456924826,0.488194847,0.500663853,0.466818321,0.495498312,0.496447265,0.481526041,0.488732839
106,event_structure-is-telic,semantics,event structure,token(s) classification,0.001953125,event_structure-is-telic,0.47354688,0.471189404,0.475503117,0.469731295,0.475933748,0.469769061,0.472166187,0.465759325,0.486790234,0.478506917,0.496090287,0.483872396,0.483019394,0.491774672,0.493920177,0.495945209,0.474629277,0.492284596,0.480635536,0.497898149,0.476948035,0.489359099,0.484312338,0.469710875,0.465996236,0.465996236,0.465996236,0.49563579,0.492627305,0.487595427,0.49590469,0.492156923,0.482922548,0.491018903,0.490805584,0.493675995,0.497517532,0.483909029,0.481071192,0.483491862,0.476582897,0.475529432,0.474340212,0.492588305,0.485272843,0.477637047,0.485214502,0.487255633,0.490426612,0.478458846,0.481466913,0.47891956,0.482362574,0.490006655,0.480979997,0.485536987,0.48956067,0.498062676,0.493908554
107,factuality,semantics,factuality,token(s) pair classification,0.001953125,factuality,0.322697312,0.285838556,0.302535647,0.288211465,0.310130733,0.318075144,0.289028102,0.289096731,0.314917725,0.299788868,0.280724025,0.310570914,0.298604226,0.307017523,0.295271116,0.300823396,0.253710791,0.291247988,0.311207801,0.321035677,0.305801207,0.294225258,0.291399944,0.283403343,0.295446563,0.276953518,0.278049988,0.327333724,0.320989448,0.311290538,0.329381722,0.321323979,0.329044491,0.340521711,0.320062089,0.325510144,0.291191781,0.323434401,0.304904068,0.309298438,0.320294988,0.316602218,0.300989109,0.29964394,0.324192965,0.294103491,0.302310425,0.305012542,0.308375072,0.306278163,0.300295782,0.319528669,0.30599373,0.29219954,0.312575269,0.310836846,0.330685192,0.323946941,0.304809278
108,flesch,syntax,readability,sentence classification,0.001953125,flesch,0.141905923,0.171717457,0.019106235,0.148756348,0.188201939,0.081894971,0.024383588,0.114233544,0.131848906,0.048385797,0.179446891,0.209294283,-0.05548817,-0.028924678,-0.072162295,0.066177881,-0.084403358,0.067763483,0.222825003,0.180922124,0.014660132,0.089118426,0.077660173,0.012724357,-0.003042113,0.0373556,-0.051920418,0.006026045,0.088844208,0.129672638,0.009730057,0.165612803,0.106941597,0.137176259,0.054546813,0.064669709,0.156739455,0.107659626,0.22269211,0.186720285,0.151228753,0.134238395,0.162662989,0.13420741,0.163423499,0.203317425,0.165915243,0.185567036,0.072344936,0.106423199,0.007589512,0.083408405,0.197069982,0.147030748,0.069865967,0.169559328,0.006364705,0.260566834,0.141953123
110,fuse-negation-span-classify,reasoning,negation,token(s) classification,0.001953125,fuse-negation-span-classify,0.483582902,0.488781267,0.498968464,0.499921936,0.543565065,0.512630659,0.499699533,0.567464781,0.440707052,0.464610505,0.540623629,0.577052748,0.687690151,0.526805937,0.594272321,0.76625278,0.476640421,0.589168882,0.596570063,0.564260107,0.658379149,0.482593083,0.569012934,0.474576265,0.474504972,0.422369719,0.399280983,0.814249027,0.774277377,0.747251737,0.660773075,0.669580138,0.807076669,0.664845675,0.596306741,0.707877946,0.681934643,0.742597139,0.539993155,0.504456162,0.481831241,0.46315974,0.487999529,0.455020177,0.477394617,0.491022331,0.541590804,0.514013147,0.499597974,0.465799135,0.448287958,0.476962554,0.525120139,0.546195132,0.515617657,0.557436037,0.664554572,0.528097761,0.557626289
111,fuse-negation-span-correspondence,reasoning,negation,token(s) pair classification,0.001953125,fuse-negation-span-correspondence,0.449011594,0.446465248,0.428319573,0.459805995,0.409610558,0.439648318,0.427796698,0.422194922,0.435242188,0.419012594,0.4427104,0.46133796,0.463601929,0.428853512,0.419111186,0.458032632,0.380373812,0.447710794,0.447906226,0.448914242,0.438171512,0.44816857,0.403693557,0.320505434,0.352703005,0.342306566,0.345670795,0.462092364,0.451786309,0.448081619,0.438070589,0.433873159,0.479077077,0.412242991,0.474401987,0.462616134,0.461308599,0.437012112,0.425742161,0.371043992,0.468314332,0.412494087,0.486067575,0.491354716,0.478489149,0.486048818,0.452220398,0.463562185,0.482977045,0.450059724,0.406092864,0.459801304,0.407467026,0.440555173,0.469401205,0.421712524,0.444182283,0.42357825,0.452891916
112,fuse-org-negation,reasoning,negation,sentence classification,0.001953125,fuse-org-negation,0.563657582,0.500545412,0.557909942,0.548655558,0.618721926,0.571230841,0.559105933,0.53722564,0.528014505,0.501523459,0.591589904,0.599721551,0.523627859,0.512585217,0.501557219,0.506223035,0.400376913,0.565702558,0.64788698,0.598314488,0.542178094,0.503689677,0.483391595,0.38379114,0.436276597,0.446413684,0.39476712,0.483669305,0.466382033,0.496702921,0.480987859,0.469915664,0.497506773,0.447730494,0.504696715,0.523946869,0.500477821,0.482465762,0.593748295,0.558914912,0.597453642,0.579234242,0.641491473,0.637354887,0.581440781,0.578324521,0.618023264,0.643396807,0.610749567,0.555402732,0.561136925,0.443645504,0.587980866,0.636913514,0.59621141,0.619432282,0.503446364,0.455253434,0.461229974
113,gum-rst-edu-count,discourse,rethorical structure theory,token(s) classification,0.001953125,gum-rst-edu-count,-0.00723831,-0.001017919,0.013946999,-0.012919569,-0.001612129,-0.001926014,0.008292155,-0.008183112,0.003195462,0.012538548,-0.002712082,0.011840364,-0.018923953,-0.012898823,-0.011634303,0.019092298,0.011339243,0.012446292,0.018050114,-0.002775685,0.000415668,0.02628393,0.00625161,-0.016245308,-0.019494423,-0.005703335,-0.014885284,0.031213358,0.01750391,0.032699608,0.018326603,0.010089815,0.024627829,-0.001258735,0.005852982,0.037269882,0.047654071,0.039497023,-7.39E-05,0.021646487,0.019708567,0.013667605,0.022767994,0.025237955,0.00414528,0.016685247,0.000757908,0.00874808,0.004836951,0.032572307,0.015732509,0.003141242,0.000503574,0.010692938,0.023507353,0.014650389,0.008925454,-0.002509543,0.016347726
114,gum-rst-edu-depth,discourse,rethorical structure theory,token(s) classification,0.001953125,gum-rst-edu-depth,-0.008953545,0.015659265,0.036881559,0.005337346,0.016754404,0.007478834,0.00163016,-0.009225949,0.016071624,0.01478915,0.012160148,0.015131788,0.032432306,0.006322968,0.076475237,0.113553865,0.011611053,-0.019478043,0.001889021,0.017339114,0.024081849,-0.001377514,-0.005459701,-0.00598307,0.012527212,-0.033764281,0.013840675,0.142014106,0.107762457,0.106138918,0.07809834,0.064699804,0.100909817,0.07243633,0.067637991,0.123590547,0.091895527,0.142873554,0.002260067,0.001207567,0.037691867,0.035721245,-0.014573179,-0.023693067,0.019949766,0.008285038,0.020999259,0.02318146,-0.001418255,0.01853962,0.002107039,-0.017178499,0.03697168,0.011735566,-0.011054615,0.021074645,0.105725373,0.017036116,0.00992459
115,gum-rst-edu-distance,discourse,rethorical structure theory,token(s) pair classification,0.001953125,gum-rst-edu-distance,0.000938619,0.028219575,-0.00551816,-0.004985496,0.013893295,0.010292479,0.005926988,0.010856579,-0.021834255,-2.51E-05,0.025084721,-0.00031276,0.026178692,0.019690264,0.014704189,0.037121014,-0.003658306,0.006044085,-0.022721126,0.013216429,0.009949261,0.010199724,0.016771605,0.039526339,-0.01601394,-0.008304435,0.008784925,0.061743706,0.040910781,0.031934077,0.030751387,0.011308025,0.09645655,0.011597026,0.03095762,0.031879665,-0.004381292,0.081825474,0.032751131,0.005156652,-0.005896681,0.030189328,0.00988639,0.043463748,0.009148298,0.030627036,0.016617058,0.007930337,-0.02148936,-0.005210544,,,0.004123366,0.023412175,0.007620571,0.016327642,0.033051009,-0.018323203,0.001148224
116,gum-rst-edu-relation,discourse,rethorical structure theory,token(s) pair classification,0.001953125,gum-rst-edu-relation,0.024102896,0.026775603,0.020371907,0.026637778,0.029116125,0.031000644,0.027865297,0.029139332,0.022750773,0.01922094,0.028536468,0.029173679,0.028371924,0.015902924,0.024799643,0.02273309,0.009439095,0.033146895,0.025996925,0.028165332,0.03496055,0.01831377,0.017064506,0.006352639,0.004483236,0.006567297,0.005812789,0.01991146,0.02291082,0.025111233,0.0192399,0.006584975,0.021797754,0.005694966,0.021872845,0.023409128,0.025711218,0.021615066,0.024417657,0.021627668,0.024796867,0.023506431,0.021626978,0.019707396,0.025777664,0.021718773,0.021304242,0.021295925,0.02191483,0.017435981,,,0.030657323,0.031548104,0.017161861,0.022226606,0.023915362,0.025936154,0.021288473
117,gum-rst-edu-relation-group,discourse,rethorical structure theory,token(s) pair classification,0.001953125,gum-rst-edu-relation-group,0.046648536,0.052440517,0.051757154,0.056669956,0.051080497,0.051545616,0.052156934,0.046590675,0.046236751,0.045909422,0.050162509,0.046716353,0.058047501,0.043332697,0.050363733,0.058203091,0.032141165,0.058097482,0.060637731,0.048010319,0.055636434,0.054949364,0.040067237,0.024396263,0.028536453,0.028054638,0.02092481,0.060011163,0.049239766,0.05176038,0.045845076,,0.054303415,0.022063452,0.054853832,0.054501402,0.057548266,0.055834703,0.049490646,0.04885086,0.050303514,0.057323098,0.046897209,0.05150639,,,0.056062427,0.045128307,0.049777674,0.044511589,,,0.073666762,0.059660115,0.042408313,0.049230717,0.053419885,0.055921174,0.056250858
118,gum-rst-edu-successively,discourse,rethorical structure theory,token(s) pair classification,0.001953125,gum-rst-edu-successively,0.498220956,0.494932353,0.487015039,0.483310515,0.500684863,0.501377863,0.49409458,0.496895927,0.495651317,0.49502908,0.501793694,0.491714436,0.493093765,0.502816898,0.497000122,0.497278583,0.486555368,0.50123651,0.500094354,0.490117836,0.499295586,0.502768523,0.497706544,0.365654874,0.407834351,0.370639783,0.412616998,0.498945802,0.493689942,0.487814075,0.504613137,0.397359741,0.499536455,0.409146595,0.504876602,0.492051697,0.501949608,0.489025742,0.493127513,0.470191157,0.498554975,0.498885262,0.503560138,0.498707354,0.484930348,0.48389014,0.50462271,0.500860465,0.482972354,0.491856313,,,0.497539073,0.499708652,0.47935555,0.499139702,0.503937531,0.499951768,0.496450692
119,gum-rst-edu-type,discourse,rethorical structure theory,token(s) classification,0.001953125,gum-rst-edu-type,0.565683222,0.562870705,0.546889853,0.575629103,0.581048119,0.549927449,0.592213595,0.557769561,0.559984636,0.574686885,0.582600439,0.559905481,0.591784024,0.464318132,0.508318257,0.613490427,0.366499114,0.547749412,0.592158556,0.542627406,0.591094935,0.512946677,0.566944253,0.385166532,0.369249165,0.370979214,0.406914407,0.630781782,0.509906417,0.521913695,0.4778364,0.459885663,0.600326586,0.446661365,0.538660336,0.532174504,0.527877891,0.616503549,0.580969203,0.57849071,0.571460307,0.574183142,0.513629889,0.517216718,0.566965091,0.570160937,0.571226859,0.576084793,0.489957076,0.492473179,,,0.557589948,0.587654126,0.49274798,0.561145097,0.552556413,0.494555855,0.516189998
120,metaphor-lcc,semantics,metaphor,token(s) classification,0.001953125,metaphor-lcc,0.666329718,0.665177512,0.668887055,0.669306314,0.669540632,0.67507472,0.665154254,0.659238744,0.647782695,0.656909084,0.677359354,0.662329721,0.704184175,0.710365713,0.650996673,0.64979676,0.512764037,0.620168912,0.659517455,0.65429219,0.712503898,0.700845563,0.619799137,0.379649484,0.401257118,0.369847202,0.403676063,0.647312462,0.591919351,0.597858334,0.602480531,0.586080408,0.628941548,0.553605473,0.607150078,0.545422095,0.630677569,0.662296712,0.646474731,0.658495402,0.650012445,0.655480754,0.547789037,0.536838138,0.516130328,0.562670636,0.640939832,0.6586393,0.526872188,0.522082555,0.564034748,0.549421811,0.620798099,0.658190334,0.539181483,0.670277968,0.588599408,0.629406786,0.650427699
121,metaphor-trofi,semantics,metaphor,token(s) classification,0.001953125,metaphor-trofi,0.461703193,0.406833726,0.455789703,0.466348231,0.475109994,0.438990903,0.45278936,0.466511816,0.474612266,0.481434262,0.446090233,0.433787656,0.486986911,0.489238399,0.416110748,0.49014594,0.429706776,0.484813809,0.44646464,0.44723379,0.477667832,0.402425396,0.406392831,0.333333343,0.398235905,0.398616362,0.344674218,0.50948987,0.452157944,0.477994299,0.457649773,0.471453941,0.492474574,0.450095898,0.483253193,0.46747787,0.507620066,0.478805441,0.476541632,0.483034712,0.476342446,0.444840038,0.48917945,0.451243579,0.48795343,0.485242665,0.479521453,0.475146025,0.506919646,0.495755136,0.403337818,0.461271644,0.492359549,0.445754063,0.483762509,0.472860986,0.510159975,0.492290545,0.487515539
122,metaphor-vua_pos,semantics,metaphor,token(s) classification,0.001953125,metaphor-vua_pos,0.616116083,0.620990896,0.609002721,0.623409581,0.623182166,0.625973082,0.61709162,0.616323161,0.600269234,0.592197835,0.626903486,0.617520857,0.647607052,0.593312335,0.59930383,0.633386946,0.579394281,0.547529042,0.608686256,0.618025541,0.613709605,0.604352665,0.590374339,0.390348977,0.450238574,0.403601092,0.387463289,0.602420831,0.603881097,0.597819614,0.621878862,0.572173893,0.585050869,0.568982681,0.622841167,0.630836725,0.60358932,0.633587956,0.575765145,0.586860085,0.574135208,0.595399582,0.503791106,0.518410885,0.503511614,0.512686992,0.608825743,0.605070424,0.504250799,0.515874457,0.515706909,0.499120778,0.594041669,0.579388595,0.502153885,0.619212401,0.614174604,0.540887761,0.518459058
123,metaphor-vua_verb,semantics,metaphor,token(s) classification,0.001953125,metaphor-vua_verb,0.486358941,0.449045897,0.504291791,0.490802073,0.486928576,0.465509248,0.511688352,0.487065035,0.49377557,0.472571146,0.506992567,0.510859418,0.471848291,0.471597445,0.43736999,0.507687485,0.410847813,0.4973867,0.487363952,0.497092944,0.467672044,0.5634471,0.457453436,0.420642924,0.342117381,0.338445401,0.371687043,0.496651173,0.481994522,0.484054625,0.492687845,0.449230677,0.49356724,0.48754794,0.4886011,0.473419362,0.507539725,0.493078572,0.497899312,0.500992751,0.497608262,0.48383196,0.502203703,0.501945754,0.477284837,0.488827056,0.486406547,0.499693036,0.500181466,0.49266085,0.494506037,0.481601423,0.505705935,0.514993095,0.494372493,0.497714645,0.489360124,0.483903521,0.478336763
124,ner,semantics,named entity labeling,token(s) classification,0.001953125,ner,0.281641537,0.265027249,0.238137448,0.269054362,0.247950146,0.258443859,0.268385524,0.260526288,0.235660285,0.191395181,0.256902429,0.279794186,0.306447114,0.167730596,0.154817602,0.220341474,0.076485807,0.251498002,0.284772366,0.293143982,0.258989829,0.156954774,0.131236786,0.021718569,0.022120076,0.014835759,0.017546763,0.198167452,0.201177081,0.198582387,0.197473952,0.201874545,0.212145752,0.204774582,0.206210238,0.214836666,0.211515865,0.205872703,0.29054988,0.274425507,0.267961001,0.248002732,0.135035807,0.119855641,0.106060547,0.10091193,0.268994337,0.277743036,0.092768708,0.080069928,0.240222695,0.077320209,0.263498336,0.261459339,0.069519454,0.251613304,0.202039886,0.195568934,0.16871112
125,next-sentence-prediction,discourse,next sentence prediction,sentence pair classification,0.001953125,next-sentence-prediction,0.474703974,0.470529974,0.474593908,0.454706991,0.436759138,0.438153073,0.454191762,0.453188342,0.45606665,0.447653061,0.445724809,0.458670574,0.429190445,0.483268332,0.428571433,0.495619589,0.428783476,0.459728569,0.429318398,0.434111995,0.435890579,0.435231608,0.42899552,0.428571433,0.428571433,0.428571433,0.382857147,0.486959404,0.49202351,0.431176698,0.48641811,0.439626551,0.430180603,0.450157285,0.467097056,0.472481006,0.435804313,0.432105094,0.428783476,0.433513659,0.428571433,0.430607307,0.432009143,0.432464832,0.43235355,0.429048386,0.428766948,0.434010625,0.440770304,0.460361665,0.446212399,0.460919207,0.431573665,0.429251462,0.461310554,0.429283756,0.494177002,0.486803836,0.458502823
126,olmpics-antonym_synonym_negation,reasoning,antonym negation,sentence classification,0.001953125,olmpics-antonym_synonym_negation,0.547725481,0.477976501,0.539738595,0.522696066,0.556913257,0.565481368,0.512804562,0.524430752,0.444940311,0.431262743,0.562811077,0.541768312,0.542134364,0.512993729,0.598347288,0.570070374,0.359722227,0.489886796,0.563221937,0.550828308,0.476971185,0.553713018,0.39009279,0.333333343,0.351769429,0.366666675,0.372654623,0.644984496,0.567844892,0.624887562,0.575695628,0.505053651,0.668614399,0.50955688,0.54477452,0.473600917,0.579509413,0.565011275,0.510890377,0.501942956,0.520566756,0.526185673,0.554262197,0.55282414,0.534138298,0.572556806,0.536019748,0.493334824,0.48942436,0.445707899,0.389922076,0.408803248,0.492975593,0.60011338,0.439809102,0.533885998,0.60876025,0.474112338,0.477927196
